date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2010-01-13,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 04/2010,,"CBN offers US$250.00, WDAS,Authorised Dealers, Batari Musa, Trade & Exchange Department.",TED.FEM.FPC.GEN.01.004.10,https://www.cbn.gov.ng/out/2010/circulars/ted/foreign exchange market (wdas) auction no. 04_2010.pdf,69586,689
2010-01-18,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Aution No. 05.2010,,"CBN offers US$350 million, Authorised Dealers, Batari Musa, Trade & Exchange Department",TED.FEM.FPC.GEN.01.005.10,https://www.cbn.gov.ng/out/2010/circulars/ted/foreign exchange market (wdas) aution no. 05.2010.pdf,69923,688
2010-01-19,Central Bank of Nigeria,circulars,"Minimum Information to be Disclosed in Financial Statements for the Year Ended December 31, 2009",,"bsd, cbn, Circular on Minimum Information to be Disclosed in Financial Statements, banks, Deposit Money Banks",BSD/DIR/GEN/CIR/04/004,https://www.cbn.gov.ng/OUT/2010/CIRCULARS/BSD/CIRCULAR ON MINIMUM INFORMATION TO BE DISCLOSED IN FINANCIAL STATEMENT.pdf,202 KB,687
2010-01-20,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) No. 06.2010,,"CBN offers US$150 million, Authorised Dealers, Batari Musa, Trade & Exchange Department",TED.FEM.FPC.GEN.01.006.10,https://www.cbn.gov.ng/out/2010/circulars/ted/foreign exchange market (wdas) aution no. 06.pdf,69911,686
2010-01-25,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) No. 07/2010,,CBN offer USB150.00 Million Foreign Exchange Auction. Authorised Dealers submit bids. Batari Musa. Trade & Exchange Dept. CBN,TED/FEM/FPC/GEN/01/007/10,https://www.cbn.gov.ng/out/2010/circulars/ted/ted.fem.fpc.01.007.10doc..pdf,239897,685
2010-01-26,Central Bank of Nigeria,circulars,Nigeria Uniform Bank Account Number Proposal,,"Nigeria Uniform Bank Account Number Proposal,Nigeria,Uniform Bank Account,Number,NUBAN,Proposal,BOD,BAnking Operations Department,CBN,Central Bank of Nigeria,Abuja",BOD/PSV2020/OPS/144C,https://www.cbn.gov.ng/out/2010/circulars/bod/national uniform bank account number proposal.pdf,315522,684
2010-01-26,Central Bank of Nigeria,circulars,Recommended Standards for Electronic Payments to Government Suppliers,,"Recommended Standards for Electronic Payments to Government Suppliers,Recommended,Standards,Electronic Payments,Government Suppliers,Recommended Standards,Electronic,Payments,Government,Suppliers,CBN,Central Bank of Nigeria,BOD,Banking Operations Department,Nigeria,Abuja,DCT,Fedral Capital Territory",BOD/PSV2020/OPS/114D,https://www.cbn.gov.ng/out/2010/circulars/bod/recommended standards for electronic payments to government suppliers.pdf,373803,681
2010-01-27,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 08/2010,,CBN offer USB250.00 Million Foreign Exchange Auction. Authorised Dealers submit bids. Batari Musa. Trade & Exchange Dept. CBN,TED/FEM/FPC/GEN/01/008/10,https://www.cbn.gov.ng/out/2010/circulars/ted/ted.fem.fpc.gen.01.008.10doc..pdf,239942,680
2010-02-01,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 09/2010,,CBN offer USD250.00 for sales at Foreign Exchange Market Auction Monday 1/02/2010 Batari Musa Trade & Exchange Department. ,TED/FEM/FPC/GEN/01/009/10,https://www.cbn.gov.ng/out/2010/circulars/ted/ted.fem.fpc.gen.01.009.10doc..pdf,239927,679
2010-02-08,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 11/2010,,"CBN offers USD250,000.00 million, Auction No. 11/2010, Authorised Dealers,H. A. salako",TED.FEM.FPC.GEN.01.012.10,https://www.cbn.gov.ng/out/2010/circulars/ted/wdas 11 2010 of 080210 summary.pdf,20468,676
