date,source,document_type,title,url
2011-10-17,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for October 2011[1],https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/387-summary-of-auction-result-for-october-2011-1/file
2011-11-15,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for November 2011,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/386-summary-of-auction-result-for-november-2011/file
2011-12-31,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for December 2011,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/1146-summary-of-auction-result-for-december-2011/file
2012-01-31,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for January 2012,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/1145-summary-of-auction-result-for-january-2012/file
2012-02-06,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for February 2012[1],https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/383-summary-of-auction-result-for-february-2012-1/file
2012-03-10,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for March 2012,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/385-summary-of-auction-result-for-march-2012/file
2012-04-09,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of FGN Bonds Auction Result for April 2012,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/391-summary-of-fgn-bonds-auction-result-for-april-2012/file
2012-05-14,Debt Management Office Nigeria,fgn_bond_auction_result,Summary Auction Result May 2012,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/382-summary-auction-result-may-2012/file
2012-06-13,Debt Management Office Nigeria,fgn_bond_auction_result,SUMMARY AUCTION RESULT JUNE 2012,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/381-summary-auction-result-june-2012/file
2012-07-17,Debt Management Office Nigeria,fgn_bond_auction_result,July 2012 Auction Result,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/375-july-2012-auction-result/file
2012-08-21,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of August 2012 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/390-summary-of-august-2012-fgn-bonds-auction/file
2012-09-16,Debt Management Office Nigeria,fgn_bond_auction_result,SUMMARY AUCTION RESULT SEPTEMBER 2012,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/377-summary-auction-result-september-2012/file
2012-10-15,Debt Management Office Nigeria,fgn_bond_auction_result,October 2012 Summary of auctions Result,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/376-october-2012-summary-of-auctions-result/file
2012-11-25,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary ofFGN Bond auction result for November, 2012",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/380-summary-offgn-bond-auction-result-for-november-2012/file
2012-12-31,Debt Management Office Nigeria,fgn_bond_auction_result,December 2012 Summary of auctions Result,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/374-december-2012-summary-of-auctions-result/file
